CONF,DATE,LAT,LONG,TEMP,geometry,state,Month
54,2018-08-18,49.0,-118.056,307.8,POINT (-118.056 49.0000000009338),3.0,8
100,2018-08-23,48.999,-119.804,360.8,POINT (-119.804 48.9990000009338),3.0,8
100,2018-08-23,48.999,-119.804,360.6,POINT (-119.804 48.9990000009338),3.0,8
29,2018-08-19,48.999,-118.063,314.9,POINT (-118.063 48.9990000009338),3.0,8
97,2018-08-17,48.999,-118.053,353.9,POINT (-118.053 48.9990000009338),3.0,8
94,2018-09-06,48.998,-119.863,345.4,POINT (-119.863 48.9980000009338),3.0,9
100,2018-09-06,48.998,-119.855,389.5,POINT (-119.855 48.9980000009338),3.0,9
56,2018-09-07,48.998,-119.834,313.8,POINT (-119.834 48.9980000009338),3.0,9
100,2018-08-23,48.998,-119.802,360.3,POINT (-119.802 48.9980000009338),3.0,8
91,2018-08-16,48.998,-118.053,340.5,POINT (-118.053 48.9980000009338),3.0,8
73,2018-08-24,48.998,-118.027,310.9,POINT (-118.027 48.9980000009338),3.0,8
81,2018-08-24,48.998,-118.027,310.9,POINT (-118.027 48.9980000009338),3.0,8
50,2018-08-22,48.998,-118.015,311.6,POINT (-118.015 48.9980000009338),3.0,8
100,2018-08-23,48.997,-119.829,329.8,POINT (-119.829 48.9970000009339),3.0,8
100,2018-08-23,48.997,-119.827,329.6,POINT (-119.827 48.9970000009338),3.0,8
86,2018-08-16,48.997,-118.057,332.5,POINT (-118.057 48.9970000009338),3.0,8
16,2018-09-04,48.997,-118.043,302.8,POINT (-118.043 48.9970000009338),3.0,9
91,2018-08-23,48.996,-119.785,316.5,POINT (-119.785 48.9960000009339),3.0,8
93,2018-08-23,48.996,-119.783,316.5,POINT (-119.783 48.9960000009339),3.0,8
38,2018-08-24,48.996,-118.034,317.9,POINT (-118.034 48.9960000009339),3.0,8
34,2018-08-24,48.996,-118.033,317.9,POINT (-118.033 48.9960000009339),3.0,8
17,2018-08-16,48.995,-118.085,300.1,POINT (-118.085 48.9950000009339),3.0,8
71,2018-09-06,48.994,-119.82,317.9,POINT (-119.82 48.9940000009339),3.0,9
33,2018-08-16,48.994,-118.066,300.7,POINT (-118.066 48.9940000009339),3.0,8
52,2018-09-07,48.993,-119.811,313.8,POINT (-119.811 48.9930000009339),3.0,9
100,2018-08-23,48.993,-119.8,361.4,POINT (-119.8 48.9930000009339),3.0,8
100,2018-08-23,48.993,-119.8,361.7,POINT (-119.8 48.9930000009339),3.0,8
100,2018-08-23,48.993,-119.8,361.5,POINT (-119.8 48.9930000009339),3.0,8
95,2018-08-16,48.993,-118.074,350.2,POINT (-118.074 48.9930000009339),3.0,8
87,2018-08-17,48.993,-118.057,338.9,POINT (-118.057 48.9930000009339),3.0,8
55,2018-08-15,48.993,-118.052,316.7,POINT (-118.052 48.9930000009339),3.0,8
75,2018-08-30,48.992,-118.064,314.6,POINT (-118.064 48.9920000009339),3.0,8
93,2018-08-14,48.992,-118.054,343.5,POINT (-118.054 48.9920000009339),3.0,8
100,2018-08-16,48.992,-118.047,328.2,POINT (-118.047 48.9920000009339),3.0,8
49,2018-09-04,48.992,-118.029,305.2,POINT (-118.029 48.9920000009339),3.0,9
79,2018-09-06,48.991,-119.835,322.4,POINT (-119.835 48.9910000009339),3.0,9
6,2018-08-15,48.991,-118.039,311.3,POINT (-118.039 48.9910000009339),3.0,8
85,2018-08-12,48.99,-118.046,312.4,POINT (-118.046 48.9900000009339),3.0,8
82,2018-11-07,48.989,-118.088,331.1,POINT (-118.088 48.9890000009339),3.0,11
31,2018-08-17,48.989,-118.057,310.8,POINT (-118.057 48.9890000009339),3.0,8
88,2018-08-14,48.989,-118.043,313.6,POINT (-118.043 48.9890000009339),3.0,8
95,2018-08-24,48.989,-118.024,317.4,POINT (-118.024 48.9890000009339),3.0,8
93,2018-08-24,48.989,-118.024,317.4,POINT (-118.024 48.9890000009339),3.0,8
79,2018-08-21,48.988,-118.074,338.6,POINT (-118.074 48.9880000009339),3.0,8
65,2018-08-21,48.988,-118.073,307.8,POINT (-118.073 48.9880000009339),3.0,8
99,2018-08-12,48.988,-118.05,319.8,POINT (-118.05 48.9880000009339),3.0,8
47,2018-11-07,48.987,-118.098,302.3,POINT (-118.098 48.9870000009339),3.0,11
53,2018-11-07,48.987,-118.074,302.7,POINT (-118.074 48.9870000009339),3.0,11
15,2018-08-22,48.987,-118.07,308.0,POINT (-118.07 48.9870000009339),3.0,8
19,2018-08-22,48.987,-118.069,308.0,POINT (-118.069 48.9870000009339),3.0,8
85,2018-08-16,48.987,-118.059,330.6,POINT (-118.059 48.9870000009339),3.0,8
86,2018-08-15,48.987,-118.056,320.2,POINT (-118.056 48.9870000009339),3.0,8
76,2018-08-16,48.987,-118.048,322.4,POINT (-118.048 48.9870000009339),3.0,8
7,2018-08-13,48.987,-118.042,300.1,POINT (-118.042 48.9870000009339),3.0,8
100,2018-08-24,48.987,-118.039,326.4,POINT (-118.039 48.9870000009339),3.0,8
100,2018-08-24,48.987,-118.039,326.3,POINT (-118.039 48.9870000009339),3.0,8
27,2018-08-14,48.987,-118.038,302.1,POINT (-118.038 48.9870000009339),3.0,8
22,2018-08-24,48.987,-118.026,314.8,POINT (-118.026 48.9870000009339),3.0,8
23,2018-08-24,48.987,-118.025,314.8,POINT (-118.025 48.9870000009339),3.0,8
78,2018-08-14,48.986,-118.042,309.8,POINT (-118.042 48.9860000009339),3.0,8
87,2018-08-24,48.986,-118.03,331.8,POINT (-118.03 48.9860000009339),3.0,8
84,2018-08-24,48.986,-118.03,332.1,POINT (-118.03 48.9860000009339),3.0,8
88,2018-08-21,48.985,-118.081,313.9,POINT (-118.081 48.9850000009339),3.0,8
100,2018-08-16,48.985,-118.076,328.1,POINT (-118.076 48.9850000009339),3.0,8
61,2018-08-16,48.985,-118.048,304.7,POINT (-118.048 48.9850000009339),3.0,8
100,2018-08-21,48.984,-118.092,334.9,POINT (-118.092 48.9840000009339),3.0,8
15,2018-08-15,48.984,-118.055,309.2,POINT (-118.055 48.9840000009339),3.0,8
20,2018-08-24,48.984,-118.05,314.6,POINT (-118.05 48.9840000009339),3.0,8
24,2018-08-24,48.984,-118.05,314.6,POINT (-118.05 48.9840000009339),3.0,8
87,2018-08-14,48.984,-118.039,313.2,POINT (-118.039 48.9840000009339),3.0,8
87,2018-08-14,48.983,-118.056,313.5,POINT (-118.056 48.9830000009339),3.0,8
34,2018-11-13,48.983,-117.523,300.3,POINT (-117.523 48.9830000009339),3.0,11
86,2018-08-16,48.982,-118.069,332.9,POINT (-118.069 48.9820000009339),3.0,8
57,2018-08-17,48.982,-118.068,328.9,POINT (-118.068 48.9820000009339),3.0,8
