CONF,DATE,LAT,LONG,TEMP,geometry,state,Month
70,2016-08-25,48.976,-122.17,316.4,POINT (-122.17 48.9760000009339),3.0,8
69,2016-05-18,48.972,-119.071,323.7,POINT (-119.071 48.972000000934),3.0,5
76,2016-05-13,48.97,-119.089,315.9,POINT (-119.089 48.970000000934),3.0,5
72,2016-05-17,48.966,-119.087,312.4,POINT (-119.087 48.966000000934),3.0,5
36,2016-05-17,48.966,-119.085,300.8,POINT (-119.085 48.966000000934),3.0,5
32,2016-05-17,48.965,-119.08,300.8,POINT (-119.08 48.965000000934),3.0,5
73,2016-05-13,48.965,-119.074,315.2,POINT (-119.074 48.965000000934),3.0,5
40,2016-04-18,48.958,-118.157,307.1,POINT (-118.157 48.958000000934),3.0,4
72,2016-04-18,48.952,-118.137,311.8,POINT (-118.137 48.952000000934),3.0,4
74,2016-04-19,48.942,-118.155,321.1,POINT (-118.155 48.9420000009341),3.0,4
79,2016-12-21,48.934,-118.585,312.4,POINT (-118.585 48.9340000009341),3.0,12
66,2016-09-16,48.91,-118.005,305.8,POINT (-118.005 48.9100000009342),3.0,9
56,2016-09-16,48.906,-117.997,303.7,POINT (-117.997 48.9060000009343),3.0,9
72,2016-08-22,48.89,-117.618,313.0,POINT (-117.618 48.8900000009343),3.0,8
72,2016-08-22,48.889,-117.618,313.0,POINT (-117.618 48.8890000009343),3.0,8
36,2016-08-22,48.888,-117.632,302.6,POINT (-117.632 48.8880000009343),3.0,8
100,2016-08-22,48.888,-117.629,328.2,POINT (-117.629 48.8880000009343),3.0,8
100,2016-08-22,48.888,-117.629,328.2,POINT (-117.629 48.8880000009343),3.0,8
94,2016-08-22,48.887,-117.612,316.7,POINT (-117.612 48.8870000009343),3.0,8
91,2016-08-22,48.887,-117.612,316.7,POINT (-117.612 48.8870000009343),3.0,8
63,2016-07-10,48.884,-122.735,309.0,POINT (-122.735 48.8840000009344),3.0,7
40,2016-04-30,48.884,-122.733,300.8,POINT (-122.733 48.8840000009344),3.0,4
43,2016-08-22,48.883,-117.621,312.9,POINT (-117.621 48.8830000009344),3.0,8
83,2016-05-07,48.881,-122.228,326.7,POINT (-122.228 48.8810000009344),3.0,5
99,2016-08-22,48.881,-117.611,319.9,POINT (-117.611 48.8810000009344),3.0,8
99,2016-08-22,48.881,-117.61,319.9,POINT (-117.61 48.8810000009344),3.0,8
100,2016-08-22,48.879,-117.624,384.4,POINT (-117.624 48.8790000009344),3.0,8
100,2016-08-22,48.879,-117.624,384.4,POINT (-117.624 48.8790000009344),3.0,8
100,2016-08-22,48.878,-117.62,325.1,POINT (-117.62 48.8780000009344),3.0,8
100,2016-08-22,48.878,-117.619,325.1,POINT (-117.619 48.8780000009344),3.0,8
100,2016-08-22,48.877,-117.619,375.2,POINT (-117.619 48.8770000009344),3.0,8
100,2016-08-22,48.877,-117.619,375.2,POINT (-117.619 48.8770000009344),3.0,8
100,2016-08-22,48.876,-117.639,328.7,POINT (-117.639 48.8760000009344),3.0,8
100,2016-08-22,48.876,-117.639,328.7,POINT (-117.639 48.8760000009344),3.0,8
100,2016-08-22,48.876,-117.614,321.1,POINT (-117.614 48.8760000009344),3.0,8
100,2016-08-22,48.875,-117.614,321.1,POINT (-117.614 48.8750000009344),3.0,8
100,2016-08-22,48.874,-117.633,347.6,POINT (-117.633 48.8740000009344),3.0,8
100,2016-08-22,48.874,-117.633,347.6,POINT (-117.633 48.8740000009344),3.0,8
89,2016-05-07,48.873,-122.226,336.3,POINT (-122.226 48.8730000009344),3.0,5
75,2016-05-07,48.871,-122.239,316.2,POINT (-122.239 48.8710000009344),3.0,5
47,2016-08-22,48.867,-117.622,302.1,POINT (-117.622 48.8670000009344),3.0,8
69,2016-08-22,48.867,-117.616,310.0,POINT (-117.616 48.8670000009344),3.0,8
22,2016-06-04,48.865,-118.453,308.8,POINT (-118.453 48.8650000009345),3.0,6
