lat,lon,num,month
41.73180435,-123.3358261,46,Aug
41.68169663,-123.2228989,89,Aug
41.67651852,-122.1239259,81,Aug
41.54656522,-123.0556232,69,Aug
41.54081967,-123.1840164,61,Aug
41.31563636,-122.9996294,143,Aug
41.29932558,-123.025,43,Aug
41.2985,-123.0433125,48,Aug
41.26371,-123.02996,100,Aug
41.2502381,-123.0826508,63,Aug
48.78109055,-118.2061654,254,Aug
48.51191935,-119.7631452,62,Aug
48.51175862,-118.9626379,58,Aug
48.44822381,-119.8674714,210,Aug
48.44637993,-117.182509,279,Aug
48.4292381,-119.0473714,105,Aug
48.40992908,-118.9485106,282,Aug
48.40576829,-119.3043415,82,Aug
48.40660714,-119.8249405,84,Aug
48.38607317,-118.9620244,41,Aug
48.37855752,-119.0841681,226,Aug
48.37469388,-118.9601837,49,Aug
48.34955625,-118.9741125,160,Aug
48.3368642,-119.0434815,81,Aug
48.33424731,-118.8543871,93,Aug
48.32917925,-119.0116509,106,Aug
48.25875806,-118.9040161,62,Aug
48.25938596,-118.8617368,57,Aug
48.20506667,-120.7916963,135,Aug
48.15542105,-120.7323553,76,Aug
48.09778344,-120.1587452,471,Aug
48.10954651,-120.7423721,86,Aug
48.0638172,-118.0544946,93,Aug
48.06491071,-117.9977143,56,Aug
48.02334987,-118.1175979,383,Aug
48.00941781,-118.0101164,146,Aug
47.97975,-118.1142614,88,Aug
47.975,-120.0440153,131,Aug
47.95845517,-118.1364069,145,Aug
46.21270909,-121.3734727,55,Aug
46.17410123,-121.3519049,652,Aug
46.1352,-121.3649111,45,Aug
46.10967399,-121.3807033,273,Aug
46.113488,-121.5042,125,Aug
46.0164375,-117.7314375,64,Aug
46.00312903,-117.7298387,31,Aug
45.9705625,-117.7195625,80,Aug
45.95611475,-117.6892705,122,Aug
45.03162016,-117.3760775,129,Aug
44.76042745,-121.5149765,255,Aug
44.59207273,-117.7718909,55,Aug
44.29587273,-119.0127273,55,Aug
44.24903509,-118.7391404,57,Aug
43.09265854,-122.1910732,82,Aug
43.08019643,-122.2327679,56,Aug
43.04822615,-122.2534311,283,Aug
43.05078605,-122.2023302,215,Aug
41.00526518,-123.3807316,313,Aug
40.98454651,-123.4738372,86,Aug
40.83030909,-123.3868182,55,Aug
40.66675188,-123.3998271,133,Aug
40.59626446,-123.5383802,121,Aug
40.525,-123.5343016,63,Aug
40.44181679,-122.9739924,131,Aug
40.32977586,-123.5542586,58,Aug
40.29409714,-123.5209829,175,Aug
36.91882105,-118.9541053,95,Aug
36.90540833,-119.0151417,240,Aug
36.89236923,-118.8934615,65,Aug
36.88725862,-118.8554483,58,Aug
36.87735417,-118.8248021,96,Aug
36.85302632,-118.8052105,76,Aug
36.79723828,-118.8442148,256,Aug
47.81361379,-120.5554448,290,Aug
47.7894026,-120.519039,77,Aug
42.63922034,-120.8644576,59,Aug
41.76192982,-123.1606842,57,Sep
41.72374506,-123.074535,557,Sep
41.72348454,-123.1486186,97,Sep
41.66025,-123.1449562,160,Sep
41.65685714,-123.2120286,70,Sep
41.63543511,-123.2630573,262,Sep
41.64928205,-123.1222821,39,Sep
41.64240426,-123.1704255,47,Sep
41.59486538,-123.2275,52,Sep
41.53366427,-123.2411598,557,Sep
39.07699338,-120.4246954,151,Sep
38.84359302,-120.5671744,86,Sep
38.80516832,-120.669198,101,Sep
38.78778571,-120.681881,42,Sep
48.11987671,-120.4175479,73,Sep
42.75868478,-122.2671304,92,Sep
44.52272727,-118.2492727,55,Oct
41.58505,-123.27255,20,Oct
41.434625,-121.8926667,24,Oct
39.35045161,-121.6186774,31,Oct
36.75065789,-118.9568684,38,Oct
36.44809,-118.63278,100,Oct
36.24681287,-118.4690585,513,Oct
45.91490476,-121.2865238,21,Oct
42.6232381,-121.3440952,21,Oct
40.206375,-122.98125,32,Oct
40.18415534,-123.0421845,103,Oct
39.105,-122.1118571,21,Oct
38.84421212,-120.2899697,33,Oct
38.45270833,-122.5738333,24,Oct
38.43262069,-122.4557586,29,Oct
38.414,-122.6259259,27,Oct
38.38927586,-122.4887241,29,Oct
38.34075862,-122.3992069,29,Oct
38.31959091,-122.4274545,22,Oct
38.31147368,-122.4037895,38,Oct
37.67625714,-119.5673314,175,Oct
36.3382449,-118.5289796,49,Oct
46.143,-117.3758571,21,Oct
42.55775,-123.9345,20,Oct
36.21521875,-118.6356563,32,Oct
46.39203226,-123.5147097,31,Nov
41.24377273,-121.3221818,22,Nov
37.98420833,-119.9825833,48,Nov
34.09305556,-117.5317778,18,Nov
37.96184615,-120.0190385,26,Nov
36.25490476,-118.6492381,21,Nov
39.85757143,-121.5203571,28,Nov
39.8498,-121.4871143,35,Nov
39.84225,-121.3689375,16,Nov
39.83087805,-121.4379756,82,Nov
39.82205405,-121.3745946,37,Nov
39.79658824,-121.6760588,17,Nov
39.71238636,-121.4572955,44,Nov
39.689375,-121.469125,16,Nov
36.40886486,-118.7338649,37,Nov
36.23276667,-118.6340333,30,Nov
36.21673585,-118.5769811,53,Nov
34.5614,-119.3499333,30,Dec
34.5577619,-119.3860476,21,Jan
34.555,-119.4131111,9,Feb
34.5351,-119.3252,10,Mar
34.52590909,-119.2316364,11,Apr
34.47876923,-119.5788462,13,May
34.46641667,-119.04175,12,Jun
34.46146667,-119.6137333,15,Jul
34.4545,-119.559,14,Aug
34.4545,-118.9836111,18,Sep
34.43775,-119.0315,12,Oct
34.40307143,-119.3845714,14,Nov
