lat,lon,num
44.52272727,-118.2492727,55
41.58505,-123.27255,20
41.434625,-121.8926667,24
39.35045161,-121.6186774,31
36.75065789,-118.9568684,38
36.44809,-118.63278,100
36.24681287,-118.4690585,513
45.91490476,-121.2865238,21
42.6232381,-121.3440952,21
40.206375,-122.98125,32
40.18415534,-123.0421845,103
39.105,-122.1118571,21
38.84421212,-120.2899697,33
38.45270833,-122.5738333,24
38.43262069,-122.4557586,29
38.414,-122.6259259,27
38.38927586,-122.4887241,29
38.34075862,-122.3992069,29
38.31959091,-122.4274545,22
38.31147368,-122.4037895,38
37.67625714,-119.5673314,175
36.3382449,-118.5289796,49
46.143,-117.3758571,21
42.55775,-123.9345,20
36.21521875,-118.6356563,32
