lat,lon,num
48.51927273,-120.0873636,33
48.5117037,-120.1089259,27
48.47236735,-120.0924898,49
48.35889831,-120.6224068,59
48.33422667,-119.8069733,75
48.32411538,-119.8392692,78
48.26405128,-120.026,39
48.25051429,-119.9972857,35
48.206625,-119.9947917,168
48.20175,-120.1923553,76
48.19512195,-120.1382927,82
48.04533333,-120.619,153
48.04029167,-120.0084792,48
48.03521569,-120.0354902,51
48.01262185,-120.5950756,119
47.71614433,-120.8162216,194
47.71250704,-120.7540423,71
47.69051064,-120.8104043,47
47.65044048,-120.3302905,420
47.65257576,-120.2721818,33
47.62044538,-120.2866555,119
44.95475758,-119.555303,33
44.93018667,-121.73808,75
44.91523485,-121.6765682,132
44.9170566,-119.532283,53
44.63949359,-121.7314006,312
44.57896575,-121.5733767,146
44.5532406,-121.6062782,133
44.50977209,-120.3628,430
40.49016418,-122.7697761,67
40.45054491,-122.7832455,167
40.44703704,-122.7471111,27
37.80915152,-119.6190606,33
42.38117073,-123.8720488,41
37.56582051,-119.7690256,39
